team,formation,pressing_level,defensive_block,build_up_quality,counterattack_speed,set_piece_strength,set_piece_defense,wide_attack,central_attack,transition_defense,aerial_strength
Argentina,4-3-3,7,medium,8,7,7,8,7,9,8,7
Brazil,4-2-3-1,8,medium,9,9,8,7,9,8,7,8
Croatia,4-3-3,6,medium,8,6,7,8,6,8,8,7
England,4-2-3-1,7,medium,8,7,8,8,8,7,8,8
France,4-2-3-1,7,medium,8,9,8,7,8,8,7,8
Germany,4-2-3-1,8,high,8,7,7,6,8,8,6,7
Japan,4-4-2,8,medium,7,8,6,7,7,6,8,6
Morocco,4-1-4-1,6,low,7,8,7,9,7,6,9,8
Netherlands,3-4-1-2,7,medium,8,7,8,8,8,7,8,8
Poland,4-4-2,5,low,6,6,8,7,6,6,6,8
Saudi Arabia,4-3-3,7,high,6,8,6,6,7,6,6,6
Scotland,3-4-2-1,6,medium,6,6,7,7,7,5,6,7
Spain,4-3-3,7,high,9,6,7,8,8,9,8,6
United States,4-3-3,8,medium,7,8,6,7,8,6,7,7
